Time,AccX,AccY,AccZ,MagX,MagY,MagZ,Heading,Gesture
35154,48,528,-880,10478,-33887,23356,208,face up
35190,0,576,-848,10178,-35687,22556,211,face up
35226,16,656,-864,10178,-35687,22556,213,face up
35262,16,560,-816,10178,-37087,19456,206,face up
35298,64,688,-752,10178,-37087,19456,211,face up
35334,64,624,-752,10178,-37087,19456,208,face up
35370,0,608,-784,10378,-38687,18456,208,face up
35406,16,656,-752,10378,-38687,18456,210,face up
35448,16,672,-752,10678,-39487,17356,210,face up
35484,48,720,-736,10678,-39487,17356,211,face up
35520,16,656,-736,10678,-39487,17356,210,face up
35556,0,704,-736,10178,-40487,14556,207,face up
35592,48,704,-704,10178,-40487,14556,207,face up
35628,48,720,-704,10178,-40487,14556,207,face up
35664,16,704,-704,10878,-41087,14356,209,
35700,32,688,-704,10878,-41087,14356,208,
35736,16,672,-736,11178,-41287,13956,207,
35772,32,624,-752,11178,-41287,13956,205,
35808,16,640,-784,11178,-41287,13956,205,
35844,16,640,-832,10978,-40387,16256,205,
35880,32,496,-864,10978,-40387,16256,201,
35916,0,416,-864,10078,-36987,20656,202,
35952,32,576,-912,10078,-36987,20656,204,
35988,48,496,-960,10078,-36987,20656,201,
36024,16,304,-976,9278,-32487,25956,200,
36060,32,352,-928,9278,-32487,25956,201,
36096,0,288,-976,8378,-28987,27756,202,
36132,32,192,-992,8378,-28987,27756,197,
36168,16,160,-992,8378,-28987,27756,198,
36210,0,144,-992,7778,-25087,30556,200,face up
36246,0,48,-1008,7778,-25087,30556,198,face up
36282,0,32,-1024,7678,-22287,32356,199,face up
36318,16,-16,-992,7678,-22287,32356,197,face up
36354,-16,0,-1024,7678,-22287,32356,200,face up
36390,0,-96,-1008,6678,-17787,33156,197,face up
36426,16,-144,-1008,6678,-17787,33156,195,face up
36462,0,-144,-1008,6678,-17787,33156,196,face up
36498,0,-176,-992,6578,-14087,34556,198,face up
36534,16,-256,-976,6578,-14087,34556,195,face up
36570,16,-272,-976,6878,-10187,34456,198,face up
36606,16,-304,-944,6878,-10187,34456,197,face up
36642,16,-352,-944,6878,-10187,34456,196,face up
36678,16,-384,-944,6178,-6787,34756,196,face up
36714,16,-384,-928,6178,-6787,34756,195,face up
36786,0,-480,-912,5478,-2787,34956,196,face up
36822,0,-496,-880,5478,-2787,34956,195,face up
36858,16,-512,-864,5078,1313,34556,195,face up
36894,16,-560,-848,5078,1313,34556,193,face up
36930,16,-560,-832,4478,4613,32556,194,face up
36972,0,-592,-800,4478,4613,32556,195,face up
37008,0,-640,-800,4478,4613,32556,194,face up
37044,16,-656,-768,4378,7213,32256,193,face up
37116,16,-704,-720,4378,7213,32256,191,face up
37152,16,-704,-720,4278,10313,31956,193,face up
37188,0,-736,-672,4278,10313,31956,194,face up
37224,16,-768,-656,3978,13113,30656,192,face up
37296,16,-816,-640,3978,13113,30656,191,face up
37332,16,-816,-624,3978,15113,30256,192,face up
37404,16,-832,-576,3978,17313,29556,192,face up
37440,16,-848,-560,3978,17313,29556,191,face up
37476,16,-816,-528,3978,17313,29556,191,face up
37512,16,-848,-528,4478,18813,27256,195,face up
37548,16,-848,-512,4478,18813,27256,194,face up
37584,16,-816,-496,4178,19213,26556,194,face up
37620,16,-752,-544,4178,19213,26556,198,face up
37656,16,-816,-576,4178,19213,26556,197,face up
37692,16,-736,-624,4078,18313,27556,200,face up
37734,0,-704,-624,4078,18313,27556,205,face up
37770,0,-752,-768,3978,14113,31656,198,face up
37806,0,-672,-832,3978,14113,31656,204,face up
37842,-16,-656,-784,3978,14113,31656,206,face up
37878,0,-560,-848,4078,7413,34456,197,face up
37914,-16,-544,-912,4078,7413,34456,202,face up
37950,0,-496,-896,4078,7413,34456,201,face up
37986,-16,-400,-928,4178,1713,34156,201,face up
38022,-16,-400,-944,4178,1713,34156,202,face up
38058,-32,-320,-976,4478,-3987,35856,200,face up
38094,0,-288,-960,4478,-3987,35856,197,face up
38130,-16,-208,-976,4478,-3987,35856,204,face up
38166,-16,-160,-1024,4678,-9387,34856,199,face up
38202,0,-144,-992,4678,-9387,34856,198,face up
38238,-16,-80,-992,5578,-14387,34756,199,face up
38274,-32,-32,-1024,5578,-14387,34756,203,face up
38310,-16,-16,-1040,5578,-14387,34756,202,face up
38346,-32,64,-992,5778,-18787,33356,202,face up
38382,-48,112,-1024,5778,-18787,33356,205,face up
38418,-48,144,-992,6578,-22887,31956,204,face up
38460,0,192,-960,6578,-22887,31956,202,face up
38496,-32,240,-976,6578,-22887,31956,207,face up
38532,-16,256,-944,5978,-26687,29656,199,face up
38568,-32,336,-960,5978,-26687,29656,204,face up
38604,-16,368,-928,5978,-26687,29656,204,face up
38640,-48,368,-944,6978,-30187,27156,204,face up
38676,-80,416,-976,6978,-30187,27156,207,face up
38712,-48,464,-912,6778,-32887,25556,204,face up
38748,-32,432,-880,6778,-32887,25556,202,face up
38784,-48,496,-880,6778,-32887,25556,206,face up
38820,-32,576,-848,6978,-34987,22456,205,face up
38856,-32,544,-848,6978,-34987,22456,204,face up
38892,-48,528,-832,6778,-36987,22156,202,face up
38928,-32,592,-816,6778,-36987,22156,204,face up
38964,-48,608,-816,6778,-36987,22156,205,face up
39000,-80,592,-848,6878,-38187,20856,203,face up
39036,-64,656,-752,6878,-38187,20856,208,face up
39072,-32,592,-736,6878,-38187,20856,204,face up
39108,-112,640,-816,6578,-38887,18456,204,face up
39144,-80,640,-736,6578,-38887,18456,205,face up
39186,-48,720,-752,6078,-39687,18256,203,face up
39222,-80,736,-752,6078,-39687,18256,206,face up
39258,-48,720,-752,6078,-39687,18256,203,face up
39294,-96,688,-704,6578,-40587,16556,205,face up
39330,-80,704,-720,6578,-40587,16556,204,face up
39366,-80,704,-720,6578,-41187,15756,203,face up
39402,-80,704,-720,6578,-41187,15756,203,face up
39438,-80,688,-720,6578,-41187,15756,202,face up
39474,-80,656,-720,6278,-40687,14956,200,face up
39510,-96,640,-768,6278,-40687,14956,199,
39546,-80,608,-784,6778,-40487,16056,200,
39582,-224,592,-832,6778,-40487,16056,202,
39618,-64,592,-832,6778,-40487,16056,198,
39654,-64,496,-848,5278,-38187,19556,196,
39690,-96,544,-880,5278,-38187,19556,198,
39726,-96,400,-944,5078,-34887,23956,197,
39762,-96,352,-944,5078,-34887,23956,196,
39798,-112,304,-928,5078,-34887,23956,196,
39834,-112,368,-976,4078,-30887,28956,201,
39870,-96,176,-976,4078,-30887,28956,195,
39906,-112,96,-960,4078,-30887,28956,194,
39948,-96,192,-992,2678,-26687,31256,195,face up
39984,-96,32,-1008,2678,-26687,31256,192,face up
40020,-96,-32,-992,2178,-21287,33456,193,face up
40056,-96,-16,-1008,2178,-21287,33456,193,face up
